Cluster 2 - Average Entropy per Bin (0_40_80_120_1950)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1950	rec_entropy_80_1950	rec_entropy_120_1950
1	31	1.1232	1.1866	1.1864	1.1864	1.1847
2	31	1.1788	1.1709	1.1735	1.1735	1.1735
3	31	1.2395	1.3265	1.3331	1.3332	1.3315
4	31	1.2938	1.3109	1.2924	1.2924	1.2924
5	31	1.3402	1.3921	1.3859	1.3859	1.3859
6	31	1.3896	1.3694	1.3723	1.3723	1.3729
7	31	1.4602	1.4809	1.4516	1.4516	1.4526
8	31	1.5247	1.5194	1.5086	1.5086	1.5086
9	31	1.6208	1.5944	1.6107	1.6063	1.6054
10	35	1.7707	1.7012	1.6800	1.6839	1.6822
