nohup: ignoring input
[23:09:03] === SVD (poison-only) — NO post-fit nudge ===
[23:09:08] Original users: 53,424
[23:09:08] Training baseline SVD on ORIGINAL...
[23:15:33] Scored 1,000/53,424 users for ORIGINAL...
[23:15:36] Scored 2,000/53,424 users for ORIGINAL...
[23:15:38] Scored 3,000/53,424 users for ORIGINAL...
[23:15:40] Scored 4,000/53,424 users for ORIGINAL...
[23:15:43] Scored 5,000/53,424 users for ORIGINAL...
[23:15:45] Scored 6,000/53,424 users for ORIGINAL...
[23:15:47] Scored 7,000/53,424 users for ORIGINAL...
[23:15:49] Scored 8,000/53,424 users for ORIGINAL...
[23:15:51] Scored 9,000/53,424 users for ORIGINAL...
[23:15:54] Scored 10,000/53,424 users for ORIGINAL...
[23:15:56] Scored 11,000/53,424 users for ORIGINAL...
[23:15:58] Scored 12,000/53,424 users for ORIGINAL...
[23:16:01] Scored 13,000/53,424 users for ORIGINAL...
[23:16:03] Scored 14,000/53,424 users for ORIGINAL...
[23:16:05] Scored 15,000/53,424 users for ORIGINAL...
[23:16:07] Scored 16,000/53,424 users for ORIGINAL...
[23:16:10] Scored 17,000/53,424 users for ORIGINAL...
[23:16:12] Scored 18,000/53,424 users for ORIGINAL...
[23:16:14] Scored 19,000/53,424 users for ORIGINAL...
[23:16:16] Scored 20,000/53,424 users for ORIGINAL...
[23:16:19] Scored 21,000/53,424 users for ORIGINAL...
[23:16:21] Scored 22,000/53,424 users for ORIGINAL...
[23:16:23] Scored 23,000/53,424 users for ORIGINAL...
[23:16:25] Scored 24,000/53,424 users for ORIGINAL...
[23:16:28] Scored 25,000/53,424 users for ORIGINAL...
[23:16:30] Scored 26,000/53,424 users for ORIGINAL...
[23:16:32] Scored 27,000/53,424 users for ORIGINAL...
[23:16:34] Scored 28,000/53,424 users for ORIGINAL...
[23:16:37] Scored 29,000/53,424 users for ORIGINAL...
[23:16:39] Scored 30,000/53,424 users for ORIGINAL...
[23:16:41] Scored 31,000/53,424 users for ORIGINAL...
[23:16:43] Scored 32,000/53,424 users for ORIGINAL...
[23:16:46] Scored 33,000/53,424 users for ORIGINAL...
[23:16:48] Scored 34,000/53,424 users for ORIGINAL...
[23:16:50] Scored 35,000/53,424 users for ORIGINAL...
[23:16:52] Scored 36,000/53,424 users for ORIGINAL...
[23:16:55] Scored 37,000/53,424 users for ORIGINAL...
[23:16:57] Scored 38,000/53,424 users for ORIGINAL...
[23:16:59] Scored 39,000/53,424 users for ORIGINAL...
[23:17:01] Scored 40,000/53,424 users for ORIGINAL...
[23:17:04] Scored 41,000/53,424 users for ORIGINAL...
[23:17:06] Scored 42,000/53,424 users for ORIGINAL...
[23:17:08] Scored 43,000/53,424 users for ORIGINAL...
[23:17:11] Scored 44,000/53,424 users for ORIGINAL...
[23:17:13] Scored 45,000/53,424 users for ORIGINAL...
[23:17:15] Scored 46,000/53,424 users for ORIGINAL...
