K,variant,true_count,adjusted_count,est,orig
15,original,0.885501,0.885501,5.556933,4.179867
15,n=25,1.357499,1.385501,5.609009,4.118290
15,n=50,1.220781,1.885501,5.563888,4.095858
15,n=100,1.536987,2.385501,5.622348,4.201946
15,n=200,1.249495,2.885501,5.558096,4.160373
25,original,1.603343,1.603343,5.490984,4.172791
25,n=25,2.254661,2.254661,5.530190,4.122945
25,n=50,2.084400,2.754661,5.497691,4.104607
25,n=100,2.493673,3.254661,5.555318,4.184297
25,n=200,2.060684,3.754661,5.494020,4.151200
35,original,2.337433,2.337433,5.442072,4.168140
35,n=25,3.169231,3.169231,5.470845,4.125452
35,n=50,2.981450,3.669231,5.445912,4.111153
35,n=100,3.480608,4.169231,5.498198,4.177147
35,n=200,2.889338,4.669231,5.442515,4.145513
