Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Fantasy,ORIGINAL,15,3.204066,5.773889,4.076939
Fantasy,25,15,4.104803,5.634759,4.126723
Fantasy,50,15,4.036107,5.622265,4.102125
Fantasy,100,15,4.592823,5.626512,4.088051
Fantasy,200,15,4.269991,5.568222,4.115278
Fantasy,ORIGINAL,25,5.646638,5.633161,4.095577
Fantasy,25,25,7.245807,5.525312,4.134277
Fantasy,50,25,7.117868,5.519721,4.115672
Fantasy,100,25,7.887466,5.523524,4.104412
Fantasy,200,25,7.401037,5.468950,4.126865
Fantasy,ORIGINAL,35,8.148473,5.544412,4.108960
Fantasy,25,35,10.440102,5.451468,4.138521
Fantasy,50,35,10.241034,5.448848,4.123958
Fantasy,100,35,11.191543,5.452353,4.114088
Fantasy,200,35,10.562668,5.400371,4.134380
