K,variant,true_count,adjusted_count,est,orig
15,original,3.204066,3.204066,5.773889,4.076939
15,n=25,4.104803,4.104803,5.634759,4.126723
15,n=50,4.036107,4.604803,5.622265,4.102125
15,n=100,4.592823,5.104803,5.626512,4.088051
15,n=200,4.269991,5.604803,5.568222,4.115278
25,original,5.646638,5.646638,5.633161,4.095577
25,n=25,7.245807,7.245807,5.525312,4.134277
25,n=50,7.117868,7.745807,5.519721,4.115672
25,n=100,7.887466,8.245807,5.523524,4.104412
25,n=200,7.401037,8.745807,5.468950,4.126865
35,original,8.148473,8.148473,5.544412,4.108960
35,n=25,10.440102,10.440102,5.451468,4.138521
35,n=50,10.241034,10.940102,5.448848,4.123958
35,n=100,11.191543,11.440102,5.452353,4.114088
35,n=200,10.562668,11.940102,5.400371,4.134380
