K,variant,true_count,adjusted_count,est,orig
15,original,1.164215,1.164215,5.842378,3.960124
15,n=25,1.511212,1.664215,5.733571,4.124364
15,n=50,1.009808,2.164215,5.719022,4.091818
15,n=100,1.436770,2.664215,5.715824,4.069336
15,n=200,1.405305,3.164215,5.717368,4.090300
25,original,1.979148,1.979148,5.683822,4.011840
25,n=25,2.531765,2.531765,5.628516,4.124643
25,n=50,1.839323,3.031765,5.592627,4.100144
25,n=100,2.406409,3.531765,5.610878,4.083594
25,n=200,2.354784,4.031765,5.601382,4.106713
35,original,2.777310,2.777310,5.583369,4.043172
35,n=25,3.559318,3.559318,5.552238,4.126055
35,n=50,2.711609,4.059318,5.513882,4.106277
35,n=100,3.396694,4.559318,5.537654,4.093220
35,n=200,3.311882,5.059318,5.522976,4.115399
