K,variant,true_count,adjusted_count,est,orig
15,original,3.801999,3.801999,5.787566,3.963162
15,n=25,3.781559,4.301999,5.736930,4.003674
15,n=50,3.672151,4.801999,5.649021,3.999819
15,n=100,4.231862,5.301999,5.733070,4.037420
15,n=200,3.271301,5.801999,5.591782,4.021365
25,original,6.115042,6.115042,5.662547,4.000037
25,n=25,6.460692,6.615042,5.605332,4.036043
25,n=50,6.422937,7.115042,5.545474,4.031678
25,n=100,6.913223,7.615042,5.613701,4.058647
25,n=200,5.627920,8.115042,5.490623,4.051216
35,original,8.361411,8.361411,5.577676,4.022229
35,n=25,9.171777,9.171777,5.517789,4.054779
35,n=50,9.138065,9.671777,5.474923,4.049975
35,n=100,9.574049,10.171777,5.532482,4.072528
35,n=200,8.028283,10.671777,5.420424,4.068919
