K,variant,true_count,adjusted_count,est,orig
15,original,2.215259,2.215259,5.829467,3.971948
15,n=25,2.158674,2.715259,5.748097,3.995957
15,n=50,2.109558,3.215259,5.747234,3.985665
15,n=100,2.282776,3.715259,5.702763,4.044644
15,n=200,1.962058,4.215259,5.647273,4.036801
25,original,3.462302,3.462302,5.696974,3.998229
25,n=25,3.531652,3.962302,5.625898,4.021131
25,n=50,3.456237,4.462302,5.635772,4.005712
25,n=100,3.874195,4.962302,5.597244,4.057235
25,n=200,3.307016,5.462302,5.550889,4.050666
35,original,4.705900,4.705900,5.607680,4.015387
35,n=25,4.957678,5.205900,5.540810,4.037373
35,n=50,4.864780,5.705900,5.555154,4.019860
35,n=100,5.519429,6.205900,5.521831,4.066791
35,n=200,4.734614,6.705900,5.480313,4.059649
