K,variant,true_count,adjusted_count,est,orig
15,original,1.901374,1.901374,5.799173,3.947684
15,n=25,2.103268,2.401374,5.758837,3.941372
15,n=50,1.988956,2.901374,5.728733,3.944661
15,n=100,1.798686,3.401374,5.729663,3.988584
15,n=200,1.927149,3.901374,5.713494,3.970118
25,original,3.113376,3.113376,5.656008,3.990797
25,n=25,3.449854,3.613376,5.624471,3.980156
25,n=50,3.275176,4.113376,5.610397,3.981357
25,n=100,3.099019,4.613376,5.606855,4.027396
25,n=200,3.211347,5.113376,5.591827,4.011670
35,original,4.292247,4.292247,5.566069,4.014965
35,n=25,4.779855,4.792247,5.539645,4.002790
35,n=50,4.538466,5.292247,5.532342,4.002497
35,n=100,4.414140,5.792247,5.527399,4.047791
35,n=200,4.484108,6.292247,5.515276,4.031025
