Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Adult,ORIGINAL,15,0.601939,5.898149,3.871235
Adult,25,15,0.695717,5.860947,3.885995
Adult,50,15,0.663541,6.000178,3.768972
Adult,100,15,0.704403,5.795437,3.926640
Adult,200,15,0.646357,5.737128,3.914125
Adult,ORIGINAL,25,0.940457,5.748264,3.891511
Adult,25,25,1.070904,5.723161,3.904127
Adult,50,25,0.994909,5.822114,3.808321
Adult,100,25,1.088013,5.688835,3.941026
Adult,200,25,1.101153,5.620287,3.928678
Adult,ORIGINAL,35,1.246986,5.650759,3.903468
Adult,25,35,1.430256,5.629411,3.914564
Adult,50,35,1.315027,5.709355,3.832228
Adult,100,35,1.460374,5.610543,3.950906
Adult,200,35,1.557184,5.543590,3.936449
