K,variant,true_count,adjusted_count,est,orig
15,original,0.601939,0.601939,5.898149,3.871235
15,n=25,0.695717,1.101939,5.860947,3.885995
15,n=50,0.663541,1.601939,6.000178,3.768972
15,n=100,0.704403,2.101939,5.795437,3.926640
15,n=200,0.646357,2.601939,5.737128,3.914125
25,original,0.940457,0.940457,5.748264,3.891511
25,n=25,1.070904,1.440457,5.723161,3.904127
25,n=50,0.994909,1.940457,5.822114,3.808321
25,n=100,1.088013,2.440457,5.688835,3.941026
25,n=200,1.101153,2.940457,5.620287,3.928678
35,original,1.246986,1.246986,5.650759,3.903468
35,n=25,1.430256,1.746986,5.629411,3.914564
35,n=50,1.315027,2.246986,5.709355,3.832228
35,n=100,1.460374,2.746986,5.610543,3.950906
35,n=200,1.557184,3.246986,5.543590,3.936449
