K,variant,true_count,adjusted_count,est,orig
15,original,2.866539,2.866539,5.780333,4.065271
15,n=25,2.775382,3.366539,5.639860,4.115521
15,n=50,2.294400,3.866539,5.651088,4.088101
15,n=100,2.770553,4.366539,5.694780,4.051409
15,n=200,2.541929,4.866539,5.696420,4.034713
25,original,4.896320,4.896320,5.646661,4.079360
25,n=25,4.920466,5.396320,5.550245,4.121936
25,n=50,4.237777,5.896320,5.556221,4.099894
25,n=100,4.921215,6.396320,5.587909,4.068024
25,n=200,4.590989,6.896320,5.578240,4.060823
35,original,6.986429,6.986429,5.554832,4.090627
35,n=25,7.139675,7.486429,5.484134,4.125494
35,n=50,6.279144,7.986429,5.486174,4.106896
35,n=100,7.091438,8.486429,5.515305,4.076568
35,n=200,6.706742,8.986429,5.501850,4.073032
