Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Classics,ORIGINAL,15,0.885501,5.556933,4.179867
Classics,25,15,1.394617,5.615691,4.128334
Classics,50,15,1.289589,5.559917,4.108055
Classics,100,15,1.620620,5.615284,4.204117
Classics,200,15,1.356413,5.591795,4.159788
Classics,ORIGINAL,25,1.603343,5.490984,4.172791
Classics,25,25,2.283599,5.536411,4.132474
Classics,50,25,2.208764,5.495213,4.115707
Classics,100,25,2.644261,5.549404,4.184437
Classics,200,25,2.243411,5.522934,4.153372
Classics,ORIGINAL,35,2.337433,5.442072,4.168140
Classics,25,35,3.200584,5.476155,4.134694
Classics,50,35,3.147031,5.444978,4.119433
Classics,100,35,3.695193,5.493849,4.174060
Classics,200,35,3.156858,5.467410,4.149697
