K,variant,true_count,adjusted_count,est,orig
15,original,4.927018,4.927018,5.796898,3.972770
15,n=25,4.900344,5.427018,5.738247,3.996611
15,n=50,5.362309,5.927018,5.769868,3.968791
15,n=100,4.671421,6.427018,5.747771,3.968269
15,n=200,5.171065,6.927018,5.720119,4.010949
25,original,8.096548,8.096548,5.659453,4.015269
25,n=25,8.108135,8.596548,5.618718,4.028900
25,n=50,8.553740,9.096548,5.645387,4.001998
25,n=100,7.714997,9.596548,5.626870,4.003492
25,n=200,8.470350,10.096548,5.603606,4.041330
35,original,11.234726,11.234726,5.570511,4.038165
35,n=25,11.270028,11.734726,5.539911,4.047301
35,n=50,11.712901,12.234726,5.561497,4.022182
35,n=100,10.767258,12.734726,5.544885,4.024706
35,n=200,11.714248,13.234726,5.526066,4.057789
