K,variant,true_count,adjusted_count,est,orig
15,original,1.066655,1.066655,5.633539,4.108473
15,n=25,1.408019,1.566655,5.630401,4.078411
15,n=50,1.485512,2.066655,5.723261,3.964010
15,n=100,1.054732,2.566655,5.663826,4.071325
15,n=200,1.270983,3.066655,5.624143,4.016496
25,original,1.886381,1.886381,5.540944,4.118156
25,n=25,2.369684,2.386381,5.545884,4.086557
25,n=50,2.488208,2.886381,5.614381,4.002311
25,n=100,1.959082,3.386381,5.568479,4.091048
25,n=200,2.188792,3.886381,5.536769,4.045273
35,original,2.708988,2.708988,5.480907,4.119989
35,n=25,3.356900,3.356900,5.486540,4.089739
35,n=50,3.525176,3.856900,5.540081,4.023354
35,n=100,2.922469,4.356900,5.502516,4.098572
35,n=200,3.164701,4.856900,5.475709,4.056815
