Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Horror,ORIGINAL,15,1.164215,5.842378,3.960124
Horror,25,15,1.507394,5.734709,4.123207
Horror,50,15,0.991408,5.719178,4.098897
Horror,100,15,1.651692,5.733651,4.079196
Horror,200,15,1.447889,5.703544,4.116435
Horror,ORIGINAL,25,1.979148,5.683822,4.011840
Horror,25,25,2.525681,5.629533,4.123111
Horror,50,25,1.815551,5.595144,4.106221
Horror,100,25,2.752658,5.626554,4.095504
Horror,200,25,2.420710,5.594753,4.124999
Horror,ORIGINAL,35,2.777310,5.583369,4.043172
Horror,25,35,3.559337,5.550980,4.124941
Horror,50,35,2.687631,5.515643,4.110910
Horror,100,35,3.841326,5.552034,4.104094
Horror,200,35,3.387186,5.519932,4.129984
