K,variant,true_count,adjusted_count,est,orig
15,original,2.398716,2.398716,5.800197,3.950381
15,n=25,4.013196,4.013196,5.655747,4.097743
15,n=50,4.162867,4.513196,5.639543,4.111592
15,n=100,3.806136,5.013196,5.639199,4.135142
15,n=200,3.639245,5.513196,5.573529,4.159254
25,original,3.950303,3.950303,5.651705,3.992872
25,n=25,6.591363,6.591363,5.555682,4.104015
25,n=50,6.614443,7.091363,5.546830,4.111838
25,n=100,6.207135,7.591363,5.546730,4.132379
25,n=200,5.875000,8.091363,5.490851,4.153966
35,original,5.479728,5.479728,5.562049,4.015304
35,n=25,9.047170,9.047170,5.485864,4.106153
35,n=50,8.982929,9.547170,5.480195,4.111908
35,n=100,8.532233,10.047170,5.479209,4.129184
35,n=200,8.055612,10.547170,5.425595,4.149127
