Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Thriller,ORIGINAL,15,1.901374,5.799173,3.947684
Thriller,25,15,2.220257,5.765024,3.946925
Thriller,50,15,1.932465,5.727179,3.963648
Thriller,100,15,1.951258,5.756277,3.979165
Thriller,200,15,2.045036,5.694290,3.993731
Thriller,ORIGINAL,25,3.113376,5.656008,3.990797
Thriller,25,25,3.596736,5.635494,3.981992
Thriller,50,25,3.212844,5.608516,3.998422
Thriller,100,25,3.297189,5.631025,4.017635
Thriller,200,25,3.399708,5.582961,4.023439
Thriller,ORIGINAL,35,4.292247,5.566069,4.014965
Thriller,25,35,4.955189,5.549768,4.003622
Thriller,50,35,4.499345,5.529533,4.015947
Thriller,100,35,4.653096,5.546605,4.037883
Thriller,200,35,4.748334,5.509418,4.038173
