enhanced_ Adult | K=15 | ORIGINAL: total=30790, users=53424, mean_per_user=0.5763
enhanced_ Adult | K=15 | 25: total=25799, users=53424, mean_per_user=0.4829
enhanced_ Adult | K=15 | 50: total=23458, users=53424, mean_per_user=0.4391
enhanced_ Adult | K=15 | 100: total=19243, users=53424, mean_per_user=0.3602
enhanced_ Adult | K=15 | 200: total=12032, users=53424, mean_per_user=0.2252
enhanced_ Adult | K=25 | ORIGINAL: total=49958, users=53424, mean_per_user=0.9351
enhanced_ Adult | K=25 | 25: total=42178, users=53424, mean_per_user=0.7895
enhanced_ Adult | K=25 | 50: total=38745, users=53424, mean_per_user=0.7252
enhanced_ Adult | K=25 | 100: total=32320, users=53424, mean_per_user=0.6050
enhanced_ Adult | K=25 | 200: total=21064, users=53424, mean_per_user=0.3943
enhanced_ Adult | K=35 | ORIGINAL: total=68345, users=53424, mean_per_user=1.2793
enhanced_ Adult | K=35 | 25: total=58636, users=53424, mean_per_user=1.0976
enhanced_ Adult | K=35 | 50: total=54149, users=53424, mean_per_user=1.0136
enhanced_ Adult | K=35 | 100: total=45332, users=53424, mean_per_user=0.8485
enhanced_ Adult | K=35 | 200: total=30393, users=53424, mean_per_user=0.5689
enhanced_ Adventure | K=15 | ORIGINAL: total=139588, users=53424, mean_per_user=2.6128
enhanced_ Adventure | K=15 | 25: total=120659, users=53424, mean_per_user=2.2585
enhanced_ Adventure | K=15 | 50: total=111957, users=53424, mean_per_user=2.0956
enhanced_ Adventure | K=15 | 100: total=91797, users=53424, mean_per_user=1.7183
enhanced_ Adventure | K=15 | 200: total=64393, users=53424, mean_per_user=1.2053
enhanced_ Adventure | K=25 | ORIGINAL: total=236083, users=53424, mean_per_user=4.4190
enhanced_ Adventure | K=25 | 25: total=206342, users=53424, mean_per_user=3.8623
enhanced_ Adventure | K=25 | 50: total=193514, users=53424, mean_per_user=3.6222
enhanced_ Adventure | K=25 | 100: total=160885, users=53424, mean_per_user=3.0115
enhanced_ Adventure | K=25 | 200: total=116621, users=53424, mean_per_user=2.1829
enhanced_ Adventure | K=35 | ORIGINAL: total=334547, users=53424, mean_per_user=6.2621
enhanced_ Adventure | K=35 | 25: total=294298, users=53424, mean_per_user=5.5087
enhanced_ Adventure | K=35 | 50: total=276985, users=53424, mean_per_user=5.1847
enhanced_ Adventure | K=35 | 100: total=232724, users=53424, mean_per_user=4.3562
enhanced_ Adventure | K=35 | 200: total=172220, users=53424, mean_per_user=3.2236
enhanced_ Children's | K=15 | ORIGINAL: total=75535, users=53424, mean_per_user=1.4139
enhanced_ Children's | K=15 | 25: total=61392, users=53424, mean_per_user=1.1491
enhanced_ Children's | K=15 | 50: total=59916, users=53424, mean_per_user=1.1215
enhanced_ Children's | K=15 | 100: total=47533, users=53424, mean_per_user=0.8897
enhanced_ Children's | K=15 | 200: total=32062, users=53424, mean_per_user=0.6001
enhanced_ Children's | K=25 | ORIGINAL: total=128699, users=53424, mean_per_user=2.4090
enhanced_ Children's | K=25 | 25: total=106381, users=53424, mean_per_user=1.9913
enhanced_ Children's | K=25 | 50: total=103599, users=53424, mean_per_user=1.9392
enhanced_ Children's | K=25 | 100: total=84869, users=53424, mean_per_user=1.5886
enhanced_ Children's | K=25 | 200: total=59256, users=53424, mean_per_user=1.1092
enhanced_ Children's | K=35 | ORIGINAL: total=182515, users=53424, mean_per_user=3.4163
enhanced_ Children's | K=35 | 25: total=153325, users=53424, mean_per_user=2.8700
enhanced_ Children's | K=35 | 50: total=149060, users=53424, mean_per_user=2.7901
enhanced_ Children's | K=35 | 100: total=123972, users=53424, mean_per_user=2.3205
enhanced_ Children's | K=35 | 200: total=89093, users=53424, mean_per_user=1.6677
enhanced_ Classics | K=15 | ORIGINAL: total=79810, users=53424, mean_per_user=1.4939
enhanced_ Classics | K=15 | 25: total=68741, users=53424, mean_per_user=1.2867
