primary_ Adult | K=15 | ORIGINAL: total=30790, users=53424, mean_per_user=0.5763
primary_ Adult | K=15 | 25: total=29612, users=53424, mean_per_user=0.5543
primary_ Adult | K=15 | 50: total=28633, users=53424, mean_per_user=0.5360
primary_ Adult | K=15 | 100: total=25113, users=53424, mean_per_user=0.4701
primary_ Adult | K=15 | 200: total=23077, users=53424, mean_per_user=0.4320
primary_ Adult | K=25 | ORIGINAL: total=49958, users=53424, mean_per_user=0.9351
primary_ Adult | K=25 | 25: total=47788, users=53424, mean_per_user=0.8945
primary_ Adult | K=25 | 50: total=46304, users=53424, mean_per_user=0.8667
primary_ Adult | K=25 | 100: total=41111, users=53424, mean_per_user=0.7695
primary_ Adult | K=25 | 200: total=37974, users=53424, mean_per_user=0.7108
primary_ Adult | K=35 | ORIGINAL: total=68345, users=53424, mean_per_user=1.2793
primary_ Adult | K=35 | 25: total=65785, users=53424, mean_per_user=1.2314
primary_ Adult | K=35 | 50: total=63558, users=53424, mean_per_user=1.1897
primary_ Adult | K=35 | 100: total=57043, users=53424, mean_per_user=1.0677
primary_ Adult | K=35 | 200: total=52748, users=53424, mean_per_user=0.9873
primary_ Adventure | K=15 | ORIGINAL: total=139588, users=53424, mean_per_user=2.6128
primary_ Adventure | K=15 | 25: total=138579, users=53424, mean_per_user=2.5939
primary_ Adventure | K=15 | 50: total=136046, users=53424, mean_per_user=2.5465
primary_ Adventure | K=15 | 100: total=133868, users=53424, mean_per_user=2.5058
primary_ Adventure | K=15 | 200: total=129712, users=53424, mean_per_user=2.4280
primary_ Adventure | K=25 | ORIGINAL: total=236083, users=53424, mean_per_user=4.4190
primary_ Adventure | K=25 | 25: total=233991, users=53424, mean_per_user=4.3799
primary_ Adventure | K=25 | 50: total=231053, users=53424, mean_per_user=4.3249
primary_ Adventure | K=25 | 100: total=226920, users=53424, mean_per_user=4.2475
primary_ Adventure | K=25 | 200: total=220185, users=53424, mean_per_user=4.1215
primary_ Adventure | K=35 | ORIGINAL: total=334547, users=53424, mean_per_user=6.2621
primary_ Adventure | K=35 | 25: total=331113, users=53424, mean_per_user=6.1978
primary_ Adventure | K=35 | 50: total=327392, users=53424, mean_per_user=6.1282
primary_ Adventure | K=35 | 100: total=321478, users=53424, mean_per_user=6.0175
primary_ Adventure | K=35 | 200: total=313211, users=53424, mean_per_user=5.8627
primary_ Children's | K=15 | ORIGINAL: total=75535, users=53424, mean_per_user=1.4139
primary_ Children's | K=15 | 25: total=69111, users=53424, mean_per_user=1.2936
primary_ Children's | K=15 | 50: total=60258, users=53424, mean_per_user=1.1279
primary_ Children's | K=15 | 100: total=54061, users=53424, mean_per_user=1.0119
primary_ Children's | K=15 | 200: total=38610, users=53424, mean_per_user=0.7227
primary_ Children's | K=25 | ORIGINAL: total=128699, users=53424, mean_per_user=2.4090
primary_ Children's | K=25 | 25: total=117950, users=53424, mean_per_user=2.2078
primary_ Children's | K=25 | 50: total=104442, users=53424, mean_per_user=1.9550
primary_ Children's | K=25 | 100: total=94510, users=53424, mean_per_user=1.7691
primary_ Children's | K=25 | 200: total=69993, users=53424, mean_per_user=1.3101
primary_ Children's | K=35 | ORIGINAL: total=182515, users=53424, mean_per_user=3.4163
primary_ Children's | K=35 | 25: total=168018, users=53424, mean_per_user=3.1450
primary_ Children's | K=35 | 50: total=149573, users=53424, mean_per_user=2.7997
primary_ Children's | K=35 | 100: total=136280, users=53424, mean_per_user=2.5509
primary_ Children's | K=35 | 200: total=103326, users=53424, mean_per_user=1.9341
primary_ Classics | K=15 | ORIGINAL: total=79810, users=53424, mean_per_user=1.4939
primary_ Classics | K=15 | 25: total=73215, users=53424, mean_per_user=1.3705
primary_ Classics | K=15 | 50: total=69952, users=53424, mean_per_user=1.3094
primary_ Classics | K=15 | 100: total=67103, users=53424, mean_per_user=1.2560
primary_ Classics | K=15 | 200: total=62306, users=53424, mean_per_user=1.1663
primary_ Classics | K=25 | ORIGINAL: total=133759, users=53424, mean_per_user=2.5037
primary_ Classics | K=25 | 25: total=123931, users=53424, mean_per_user=2.3198
primary_ Classics | K=25 | 50: total=118197, users=53424, mean_per_user=2.2124
primary_ Classics | K=25 | 100: total=113915, users=53424, mean_per_user=2.1323
primary_ Classics | K=25 | 200: total=106576, users=53424, mean_per_user=1.9949
primary_ Classics | K=35 | ORIGINAL: total=187706, users=53424, mean_per_user=3.5135
primary_ Classics | K=35 | 25: total=174924, users=53424, mean_per_user=3.2743
primary_ Classics | K=35 | 50: total=167683, users=53424, mean_per_user=3.1387
primary_ Classics | K=35 | 100: total=161597, users=53424, mean_per_user=3.0248
primary_ Classics | K=35 | 200: total=151430, users=53424, mean_per_user=2.8345
primary_ Drama | K=15 | ORIGINAL: total=287285, users=53424, mean_per_user=5.3775
primary_ Drama | K=15 | 25: total=282203, users=53424, mean_per_user=5.2823
primary_ Drama | K=15 | 50: total=276404, users=53424, mean_per_user=5.1738
primary_ Drama | K=15 | 100: total=280862, users=53424, mean_per_user=5.2572
primary_ Drama | K=15 | 200: total=275721, users=53424, mean_per_user=5.1610
primary_ Drama | K=25 | ORIGINAL: total=475142, users=53424, mean_per_user=8.8938
primary_ Drama | K=25 | 25: total=468030, users=53424, mean_per_user=8.7607
primary_ Drama | K=25 | 50: total=458808, users=53424, mean_per_user=8.5881
primary_ Drama | K=25 | 100: total=465556, users=53424, mean_per_user=8.7144
primary_ Drama | K=25 | 200: total=457587, users=53424, mean_per_user=8.5652
primary_ Drama | K=35 | ORIGINAL: total=660268, users=53424, mean_per_user=12.3590
primary_ Drama | K=35 | 25: total=652644, users=53424, mean_per_user=12.2163
primary_ Drama | K=35 | 50: total=639957, users=53424, mean_per_user=11.9788
primary_ Drama | K=35 | 100: total=648904, users=53424, mean_per_user=12.1463
primary_ Drama | K=35 | 200: total=638424, users=53424, mean_per_user=11.9501
primary_ Fantasy | K=15 | ORIGINAL: total=156001, users=53424, mean_per_user=2.9201
primary_ Fantasy | K=15 | 25: total=141897, users=53424, mean_per_user=2.6561
primary_ Fantasy | K=15 | 50: total=128845, users=53424, mean_per_user=2.4117
primary_ Fantasy | K=15 | 100: total=113438, users=53424, mean_per_user=2.1234
primary_ Fantasy | K=15 | 200: total=88502, users=53424, mean_per_user=1.6566
primary_ Fantasy | K=25 | ORIGINAL: total=261578, users=53424, mean_per_user=4.8963
primary_ Fantasy | K=25 | 25: total=239066, users=53424, mean_per_user=4.4749
primary_ Fantasy | K=25 | 50: total=219713, users=53424, mean_per_user=4.1126
primary_ Fantasy | K=25 | 100: total=195386, users=53424, mean_per_user=3.6573
