[Adult]
K=15 | ORIGINAL unique_books: 138
K=15 | n25 unique_books: 134
K=15 | n400 unique_books: 103
K=15 | n1000 unique_books: 108

K=25 | ORIGINAL unique_books: 166
K=25 | n25 unique_books: 155
K=25 | n400 unique_books: 116
K=25 | n1000 unique_books: 137

K=35 | ORIGINAL unique_books: 189
K=35 | n25 unique_books: 183
K=35 | n400 unique_books: 139
K=35 | n1000 unique_books: 167

[Adventure]
K=15 | ORIGINAL unique_books: 1034
K=15 | n25 unique_books: 1035
K=15 | n400 unique_books: 984
K=15 | n1000 unique_books: 959

K=25 | ORIGINAL unique_books: 1194
K=25 | n25 unique_books: 1202
K=25 | n400 unique_books: 1142
K=25 | n1000 unique_books: 1156

K=35 | ORIGINAL unique_books: 1313
K=35 | n25 unique_books: 1308
K=35 | n400 unique_books: 1253
K=35 | n1000 unique_books: 1274

[Children_s]
K=15 | ORIGINAL unique_books: 521
K=15 | n25 unique_books: 511
K=15 | n400 unique_books: 272
K=15 | n1000 unique_books: 279

K=25 | ORIGINAL unique_books: 603
K=25 | n25 unique_books: 597
K=25 | n400 unique_books: 350
K=25 | n1000 unique_books: 341

K=35 | ORIGINAL unique_books: 657
K=35 | n25 unique_books: 642
K=35 | n400 unique_books: 410
K=35 | n1000 unique_books: 404

[Classics]
K=15 | ORIGINAL unique_books: 535
K=15 | n25 unique_books: 531
K=15 | n400 unique_books: 412
K=15 | n1000 unique_books: 410

K=25 | ORIGINAL unique_books: 625
K=25 | n25 unique_books: 618
K=25 | n400 unique_books: 491
K=25 | n1000 unique_books: 483

K=35 | ORIGINAL unique_books: 676
K=35 | n25 unique_books: 669
K=35 | n400 unique_books: 551
K=35 | n1000 unique_books: 543

[Drama]
K=15 | ORIGINAL unique_books: 1504
K=15 | n25 unique_books: 1516
K=15 | n400 unique_books: 1453
K=15 | n1000 unique_books: 1470

K=25 | ORIGINAL unique_books: 1772
K=25 | n25 unique_books: 1802
K=25 | n400 unique_books: 1698
K=25 | n1000 unique_books: 1730

K=35 | ORIGINAL unique_books: 1978
K=35 | n25 unique_books: 1985
K=35 | n400 unique_books: 1875
K=35 | n1000 unique_books: 1902

[Fantasy]
K=15 | ORIGINAL unique_books: 1189
K=15 | n25 unique_books: 1217
K=15 | n400 unique_books: 625
K=15 | n1000 unique_books: 517

K=25 | ORIGINAL unique_books: 1388
K=25 | n25 unique_books: 1445
K=25 | n400 unique_books: 832
K=25 | n1000 unique_books: 657

K=35 | ORIGINAL unique_books: 1511
K=35 | n25 unique_books: 1585
K=35 | n400 unique_books: 976
K=35 | n1000 unique_books: 781

[Historical]
K=15 | ORIGINAL unique_books: 451
K=15 | n25 unique_books: 435
K=15 | n400 unique_books: 291
K=15 | n1000 unique_books: 316

K=25 | ORIGINAL unique_books: 531
K=25 | n25 unique_books: 522
K=25 | n400 unique_books: 355
K=25 | n1000 unique_books: 394

K=35 | ORIGINAL unique_books: 595
K=35 | n25 unique_books: 581
K=35 | n400 unique_books: 419
K=35 | n1000 unique_books: 457

[Horror]
K=15 | ORIGINAL unique_books: 335
K=15 | n25 unique_books: 323
K=15 | n400 unique_books: 224
K=15 | n1000 unique_books: 257

K=25 | ORIGINAL unique_books: 391
K=25 | n25 unique_books: 383
K=25 | n400 unique_books: 302
K=25 | n1000 unique_books: 329

K=35 | ORIGINAL unique_books: 442
K=35 | n25 unique_books: 449
K=35 | n400 unique_books: 359
K=35 | n1000 unique_books: 384

[Mystery]
K=15 | ORIGINAL unique_books: 989
K=15 | n25 unique_books: 954
K=15 | n400 unique_books: 748
K=15 | n1000 unique_books: 750

