Adventure + Drama:
pair_both (contains both genres):
  original 15: unique_books: 12
  original 25: unique_books: 21
  original 35: unique_books: 27
  2u, 15, unique_books: 26
  4u, 15, unique_books: 42
  6u, 15, unique_books: 50
  25u, 15, unique_books: 51
  50u, 15, unique_books: 50
  100u, 15, unique_books: 51
  200u, 15, unique_books: 51
  300u, 15, unique_books: 51
  500u, 15, unique_books: 51
  1000u, 15, unique_books: 51
  2u, 25, unique_books: 30
  4u, 25, unique_books: 46
  6u, 25, unique_books: 50
  25u, 25, unique_books: 51
  50u, 25, unique_books: 51
  100u, 25, unique_books: 51
  200u, 25, unique_books: 51
  300u, 25, unique_books: 51
  500u, 25, unique_books: 51
  1000u, 25, unique_books: 51
  2u, 35, unique_books: 31
  4u, 35, unique_books: 49
  6u, 35, unique_books: 51
  25u, 35, unique_books: 51
  50u, 35, unique_books: 51
  100u, 35, unique_books: 51
  200u, 35, unique_books: 51
  300u, 35, unique_books: 51
  500u, 35, unique_books: 51
  1000u, 35, unique_books: 51

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 393
  4u, 15, unique_books: 433
  6u, 15, unique_books: 374
  25u, 15, unique_books: 339
  50u, 15, unique_books: 268
  100u, 15, unique_books: 313
  200u, 15, unique_books: 351
  300u, 15, unique_books: 351
  500u, 15, unique_books: 389
  1000u, 15, unique_books: 388
  2u, 25, unique_books: 547
  4u, 25, unique_books: 594
  6u, 25, unique_books: 528
  25u, 25, unique_books: 445
  50u, 25, unique_books: 394
  100u, 25, unique_books: 431
  200u, 25, unique_books: 475
  300u, 25, unique_books: 461
  500u, 25, unique_books: 509
  1000u, 25, unique_books: 524
  2u, 35, unique_books: 660
  4u, 35, unique_books: 705
  6u, 35, unique_books: 624
  25u, 35, unique_books: 548
  50u, 35, unique_books: 497
  100u, 35, unique_books: 522
  200u, 35, unique_books: 565
  300u, 35, unique_books: 555
  500u, 35, unique_books: 598
  1000u, 35, unique_books: 620

G2 contains only (any book containing G2):
  original 15: unique_books: 592
  original 25: unique_books: 790
  original 35: unique_books: 970
  2u, 15, unique_books: 615
  4u, 15, unique_books: 625
  6u, 15, unique_books: 567
  25u, 15, unique_books: 470
  50u, 15, unique_books: 408
  100u, 15, unique_books: 398
  200u, 15, unique_books: 463
  300u, 15, unique_books: 456
  500u, 15, unique_books: 548
  1000u, 15, unique_books: 532
  2u, 25, unique_books: 805
  4u, 25, unique_books: 827
  6u, 25, unique_books: 742
  25u, 25, unique_books: 642
  50u, 25, unique_books: 597
  100u, 25, unique_books: 549
  200u, 25, unique_books: 613
  300u, 25, unique_books: 629
  500u, 25, unique_books: 745
  1000u, 25, unique_books: 713
  2u, 35, unique_books: 964
  4u, 35, unique_books: 1000
  6u, 35, unique_books: 888
  25u, 35, unique_books: 780
  50u, 35, unique_books: 734
  100u, 35, unique_books: 691
  200u, 35, unique_books: 760
  300u, 35, unique_books: 767
  500u, 35, unique_books: 900
  1000u, 35, unique_books: 874
