Horror + Science Fiction:
pair_both (contains both genres):
  original 15: unique_books: 8
  original 25: unique_books: 11
  original 35: unique_books: 13
  2u, 15, unique_books: 14
  4u, 15, unique_books: 35
  6u, 15, unique_books: 45
  25u, 15, unique_books: 46
  50u, 15, unique_books: 46
  100u, 15, unique_books: 46
  200u, 15, unique_books: 46
  300u, 15, unique_books: 46
  500u, 15, unique_books: 45
  1000u, 15, unique_books: 45
  2u, 25, unique_books: 20
  4u, 25, unique_books: 40
  6u, 25, unique_books: 45
  25u, 25, unique_books: 46
  50u, 25, unique_books: 46
  100u, 25, unique_books: 46
  200u, 25, unique_books: 46
  300u, 25, unique_books: 46
  500u, 25, unique_books: 46
  1000u, 25, unique_books: 46
  2u, 35, unique_books: 22
  4u, 35, unique_books: 41
  6u, 35, unique_books: 45
  25u, 35, unique_books: 46
  50u, 35, unique_books: 46
  100u, 35, unique_books: 46
  200u, 35, unique_books: 46
  300u, 35, unique_books: 46
  500u, 35, unique_books: 46
  1000u, 35, unique_books: 46

G1 contains only (any book containing G1):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 187
  4u, 15, unique_books: 206
  6u, 15, unique_books: 194
  25u, 15, unique_books: 173
  50u, 15, unique_books: 157
  100u, 15, unique_books: 146
  200u, 15, unique_books: 158
  300u, 15, unique_books: 167
  500u, 15, unique_books: 193
  1000u, 15, unique_books: 171
  2u, 25, unique_books: 244
  4u, 25, unique_books: 268
  6u, 25, unique_books: 241
  25u, 25, unique_books: 216
  50u, 25, unique_books: 199
  100u, 25, unique_books: 195
  200u, 25, unique_books: 202
  300u, 25, unique_books: 208
  500u, 25, unique_books: 246
  1000u, 25, unique_books: 228
  2u, 35, unique_books: 289
  4u, 35, unique_books: 308
  6u, 35, unique_books: 281
  25u, 35, unique_books: 253
  50u, 35, unique_books: 233
  100u, 35, unique_books: 227
  200u, 35, unique_books: 235
  300u, 35, unique_books: 258
  500u, 35, unique_books: 289
  1000u, 35, unique_books: 267

G2 contains only (any book containing G2):
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 133
  4u, 15, unique_books: 174
  6u, 15, unique_books: 147
  25u, 15, unique_books: 131
  50u, 15, unique_books: 143
  100u, 15, unique_books: 145
  200u, 15, unique_books: 138
  300u, 15, unique_books: 145
  500u, 15, unique_books: 156
  1000u, 15, unique_books: 168
  2u, 25, unique_books: 192
  4u, 25, unique_books: 234
  6u, 25, unique_books: 202
  25u, 25, unique_books: 176
  50u, 25, unique_books: 184
  100u, 25, unique_books: 183
  200u, 25, unique_books: 191
  300u, 25, unique_books: 193
  500u, 25, unique_books: 199
  1000u, 25, unique_books: 218
  2u, 35, unique_books: 246
  4u, 35, unique_books: 277
  6u, 35, unique_books: 240
  25u, 35, unique_books: 213
  50u, 35, unique_books: 222
  100u, 35, unique_books: 222
  200u, 35, unique_books: 223
  300u, 35, unique_books: 230
  500u, 35, unique_books: 249
  1000u, 35, unique_books: 251
