Adult + Romance:
pair_both (contains both genres):
  original 15: unique_books: 44
  original 25: unique_books: 54
  original 35: unique_books: 61
  2u, 15, unique_books: 59
  4u, 15, unique_books: 94
  6u, 15, unique_books: 101
  25u, 15, unique_books: 115
  50u, 15, unique_books: 123
  100u, 15, unique_books: 131
  200u, 15, unique_books: 126
  300u, 15, unique_books: 124
  500u, 15, unique_books: 107
  1000u, 15, unique_books: 116
  2u, 25, unique_books: 73
  4u, 25, unique_books: 104
  6u, 25, unique_books: 115
  25u, 25, unique_books: 126
  50u, 25, unique_books: 133
  100u, 25, unique_books: 136
  200u, 25, unique_books: 134
  300u, 25, unique_books: 135
  500u, 25, unique_books: 122
  1000u, 25, unique_books: 131
  2u, 35, unique_books: 88
  4u, 35, unique_books: 113
  6u, 35, unique_books: 124
  25u, 35, unique_books: 136
  50u, 35, unique_books: 137
  100u, 35, unique_books: 138
  200u, 35, unique_books: 136
  300u, 35, unique_books: 137
  500u, 35, unique_books: 132
  1000u, 35, unique_books: 134

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 101
  4u, 15, unique_books: 136
  6u, 15, unique_books: 145
  25u, 15, unique_books: 152
  50u, 15, unique_books: 154
  100u, 15, unique_books: 166
  200u, 15, unique_books: 157
  300u, 15, unique_books: 154
  500u, 15, unique_books: 147
  1000u, 15, unique_books: 149
  2u, 25, unique_books: 132
  4u, 25, unique_books: 157
  6u, 25, unique_books: 169
  25u, 25, unique_books: 172
  50u, 25, unique_books: 179
  100u, 25, unique_books: 181
  200u, 25, unique_books: 177
  300u, 25, unique_books: 175
  500u, 25, unique_books: 174
  1000u, 25, unique_books: 176
  2u, 35, unique_books: 157
  4u, 35, unique_books: 180
  6u, 35, unique_books: 190
  25u, 35, unique_books: 191
  50u, 35, unique_books: 189
  100u, 35, unique_books: 190
  200u, 35, unique_books: 189
  300u, 35, unique_books: 187
  500u, 35, unique_books: 194
  1000u, 35, unique_books: 188

G2 contains only (any book containing G2):
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 412
  4u, 15, unique_books: 459
  6u, 15, unique_books: 433
  25u, 15, unique_books: 368
  50u, 15, unique_books: 369
  100u, 15, unique_books: 383
  200u, 15, unique_books: 389
  300u, 15, unique_books: 406
  500u, 15, unique_books: 435
  1000u, 15, unique_books: 424
  2u, 25, unique_books: 551
  4u, 25, unique_books: 599
  6u, 25, unique_books: 564
  25u, 25, unique_books: 486
  50u, 25, unique_books: 484
  100u, 25, unique_books: 481
  200u, 25, unique_books: 498
  300u, 25, unique_books: 520
  500u, 25, unique_books: 568
  1000u, 25, unique_books: 558
  2u, 35, unique_books: 660
  4u, 35, unique_books: 718
  6u, 35, unique_books: 679
  25u, 35, unique_books: 593
  50u, 35, unique_books: 568
  100u, 35, unique_books: 565
  200u, 35, unique_books: 597
  300u, 35, unique_books: 621
  500u, 35, unique_books: 663
  1000u, 35, unique_books: 663
