Fantasy + Mystery:
pair_both (contains both genres):
  original 15: unique_books: 48
  original 25: unique_books: 68
  original 35: unique_books: 85
  2u, 15, unique_books: 58
  4u, 15, unique_books: 85
  6u, 15, unique_books: 96
  25u, 15, unique_books: 152
  50u, 15, unique_books: 188
  100u, 15, unique_books: 205
  200u, 15, unique_books: 182
  300u, 15, unique_books: 148
  500u, 15, unique_books: 147
  1000u, 15, unique_books: 164
  2u, 25, unique_books: 87
  4u, 25, unique_books: 105
  6u, 25, unique_books: 129
  25u, 25, unique_books: 185
  50u, 25, unique_books: 212
  100u, 25, unique_books: 229
  200u, 25, unique_books: 210
  300u, 25, unique_books: 196
  500u, 25, unique_books: 188
  1000u, 25, unique_books: 201
  2u, 35, unique_books: 100
  4u, 35, unique_books: 124
  6u, 35, unique_books: 146
  25u, 35, unique_books: 207
  50u, 35, unique_books: 228
  100u, 35, unique_books: 236
  200u, 35, unique_books: 228
  300u, 35, unique_books: 214
  500u, 35, unique_books: 201
  1000u, 35, unique_books: 215

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 495
  4u, 15, unique_books: 553
  6u, 15, unique_books: 500
  25u, 15, unique_books: 486
  50u, 15, unique_books: 517
  100u, 15, unique_books: 579
  200u, 15, unique_books: 543
  300u, 15, unique_books: 500
  500u, 15, unique_books: 539
  1000u, 15, unique_books: 562
  2u, 25, unique_books: 683
  4u, 25, unique_books: 715
  6u, 25, unique_books: 670
  25u, 25, unique_books: 653
  50u, 25, unique_books: 651
  100u, 25, unique_books: 709
  200u, 25, unique_books: 705
  300u, 25, unique_books: 673
  500u, 25, unique_books: 717
  1000u, 25, unique_books: 739
  2u, 35, unique_books: 821
  4u, 35, unique_books: 856
  6u, 35, unique_books: 805
  25u, 35, unique_books: 776
  50u, 35, unique_books: 764
  100u, 35, unique_books: 828
  200u, 35, unique_books: 828
  300u, 35, unique_books: 807
  500u, 35, unique_books: 831
  1000u, 35, unique_books: 860

G2 contains only (any book containing G2):
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 447
  4u, 15, unique_books: 512
  6u, 15, unique_books: 446
  25u, 15, unique_books: 478
  50u, 15, unique_books: 486
  100u, 15, unique_books: 542
  200u, 15, unique_books: 531
  300u, 15, unique_books: 473
  500u, 15, unique_books: 490
  1000u, 15, unique_books: 518
  2u, 25, unique_books: 602
  4u, 25, unique_books: 672
  6u, 25, unique_books: 617
  25u, 25, unique_books: 620
  50u, 25, unique_books: 624
  100u, 25, unique_books: 673
  200u, 25, unique_books: 678
  300u, 25, unique_books: 626
  500u, 25, unique_books: 656
  1000u, 25, unique_books: 687
  2u, 35, unique_books: 732
  4u, 35, unique_books: 807
  6u, 35, unique_books: 730
  25u, 35, unique_books: 734
  50u, 35, unique_books: 720
  100u, 35, unique_books: 769
  200u, 35, unique_books: 791
  300u, 35, unique_books: 730
  500u, 35, unique_books: 766
  1000u, 35, unique_books: 808
