Adult + Drama:
pair_both (contains both genres):
  original 15: unique_books: 31
  original 25: unique_books: 42
  original 35: unique_books: 50
  2u, 15, unique_books: 50
  4u, 15, unique_books: 83
  6u, 15, unique_books: 107
  25u, 15, unique_books: 120
  50u, 15, unique_books: 126
  100u, 15, unique_books: 132
  200u, 15, unique_books: 142
  300u, 15, unique_books: 128
  500u, 15, unique_books: 125
  1000u, 15, unique_books: 134
  2u, 25, unique_books: 65
  4u, 25, unique_books: 102
  6u, 25, unique_books: 121
  25u, 25, unique_books: 132
  50u, 25, unique_books: 138
  100u, 25, unique_books: 140
  200u, 25, unique_books: 143
  300u, 25, unique_books: 138
  500u, 25, unique_books: 134
  1000u, 25, unique_books: 140
  2u, 35, unique_books: 75
  4u, 35, unique_books: 117
  6u, 35, unique_books: 128
  25u, 35, unique_books: 142
  50u, 35, unique_books: 142
  100u, 35, unique_books: 144
  200u, 35, unique_books: 144
  300u, 35, unique_books: 142
  500u, 35, unique_books: 140
  1000u, 35, unique_books: 143

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 98
  4u, 15, unique_books: 142
  6u, 15, unique_books: 155
  25u, 15, unique_books: 153
  50u, 15, unique_books: 160
  100u, 15, unique_books: 163
  200u, 15, unique_books: 181
  300u, 15, unique_books: 165
  500u, 15, unique_books: 162
  1000u, 15, unique_books: 170
  2u, 25, unique_books: 127
  4u, 25, unique_books: 173
  6u, 25, unique_books: 181
  25u, 25, unique_books: 173
  50u, 25, unique_books: 181
  100u, 25, unique_books: 184
  200u, 25, unique_books: 198
  300u, 25, unique_books: 186
  500u, 25, unique_books: 186
  1000u, 25, unique_books: 186
  2u, 35, unique_books: 146
  4u, 35, unique_books: 198
  6u, 35, unique_books: 203
  25u, 35, unique_books: 192
  50u, 35, unique_books: 192
  100u, 35, unique_books: 195
  200u, 35, unique_books: 210
  300u, 35, unique_books: 198
  500u, 35, unique_books: 202
  1000u, 35, unique_books: 205

G2 contains only (any book containing G2):
  original 15: unique_books: 592
  original 25: unique_books: 790
  original 35: unique_books: 970
  2u, 15, unique_books: 599
  4u, 15, unique_books: 641
  6u, 15, unique_books: 599
  25u, 15, unique_books: 520
  50u, 15, unique_books: 493
  100u, 15, unique_books: 526
  200u, 15, unique_books: 588
  300u, 15, unique_books: 575
  500u, 15, unique_books: 625
  1000u, 15, unique_books: 645
  2u, 25, unique_books: 790
  4u, 25, unique_books: 867
  6u, 25, unique_books: 788
  25u, 25, unique_books: 684
  50u, 25, unique_books: 659
  100u, 25, unique_books: 675
  200u, 25, unique_books: 739
  300u, 25, unique_books: 747
  500u, 25, unique_books: 793
  1000u, 25, unique_books: 833
  2u, 35, unique_books: 967
  4u, 35, unique_books: 1019
  6u, 35, unique_books: 918
  25u, 35, unique_books: 832
  50u, 35, unique_books: 794
  100u, 35, unique_books: 799
  200u, 35, unique_books: 855
  300u, 35, unique_books: 887
  500u, 35, unique_books: 938
  1000u, 35, unique_books: 980
