Adult + Fantasy:
pair_both (contains both genres):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 1
  4u, 15, unique_books: 2
  6u, 15, unique_books: 2
  25u, 15, unique_books: 2
  50u, 15, unique_books: 2
  100u, 15, unique_books: 2
  200u, 15, unique_books: 2
  300u, 15, unique_books: 2
  500u, 15, unique_books: 2
  1000u, 15, unique_books: 2
  2u, 25, unique_books: 1
  4u, 25, unique_books: 2
  6u, 25, unique_books: 2
  25u, 25, unique_books: 2
  50u, 25, unique_books: 2
  100u, 25, unique_books: 2
  200u, 25, unique_books: 2
  300u, 25, unique_books: 2
  500u, 25, unique_books: 2
  1000u, 25, unique_books: 2
  2u, 35, unique_books: 1
  4u, 35, unique_books: 2
  6u, 35, unique_books: 2
  25u, 35, unique_books: 2
  50u, 35, unique_books: 2
  100u, 35, unique_books: 2
  200u, 35, unique_books: 2
  300u, 35, unique_books: 2
  500u, 35, unique_books: 2
  1000u, 35, unique_books: 2

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 84
  4u, 15, unique_books: 97
  6u, 15, unique_books: 92
  25u, 15, unique_books: 94
  50u, 15, unique_books: 81
  100u, 15, unique_books: 82
  200u, 15, unique_books: 77
  300u, 15, unique_books: 82
  500u, 15, unique_books: 81
  1000u, 15, unique_books: 61
  2u, 25, unique_books: 112
  4u, 25, unique_books: 119
  6u, 25, unique_books: 117
  25u, 25, unique_books: 118
  50u, 25, unique_books: 108
  100u, 25, unique_books: 107
  200u, 25, unique_books: 100
  300u, 25, unique_books: 105
  500u, 25, unique_books: 101
  1000u, 25, unique_books: 87
  2u, 35, unique_books: 130
  4u, 35, unique_books: 142
  6u, 35, unique_books: 137
  25u, 35, unique_books: 141
  50u, 35, unique_books: 129
  100u, 35, unique_books: 117
  200u, 35, unique_books: 120
  300u, 35, unique_books: 125
  500u, 35, unique_books: 120
  1000u, 35, unique_books: 102

G2 contains only (any book containing G2):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 503
  4u, 15, unique_books: 554
  6u, 15, unique_books: 499
  25u, 15, unique_books: 466
  50u, 15, unique_books: 457
  100u, 15, unique_books: 485
  200u, 15, unique_books: 464
  300u, 15, unique_books: 500
  500u, 15, unique_books: 518
  1000u, 15, unique_books: 501
  2u, 25, unique_books: 680
  4u, 25, unique_books: 710
  6u, 25, unique_books: 674
  25u, 25, unique_books: 633
  50u, 25, unique_books: 607
  100u, 25, unique_books: 608
  200u, 25, unique_books: 634
  300u, 25, unique_books: 653
  500u, 25, unique_books: 673
  1000u, 25, unique_books: 651
  2u, 35, unique_books: 808
  4u, 35, unique_books: 837
  6u, 35, unique_books: 798
  25u, 35, unique_books: 768
  50u, 35, unique_books: 728
  100u, 35, unique_books: 739
  200u, 35, unique_books: 757
  300u, 35, unique_books: 778
  500u, 35, unique_books: 790
  1000u, 35, unique_books: 768
