Adventure + Classics:
pair_both (contains both genres):
  original 15: unique_books: 10
  original 25: unique_books: 14
  original 35: unique_books: 17
  2u, 15, unique_books: 24
  4u, 15, unique_books: 42
  6u, 15, unique_books: 50
  25u, 15, unique_books: 62
  50u, 15, unique_books: 63
  100u, 15, unique_books: 63
  200u, 15, unique_books: 63
  300u, 15, unique_books: 63
  500u, 15, unique_books: 59
  1000u, 15, unique_books: 62
  2u, 25, unique_books: 31
  4u, 25, unique_books: 49
  6u, 25, unique_books: 55
  25u, 25, unique_books: 63
  50u, 25, unique_books: 63
  100u, 25, unique_books: 63
  200u, 25, unique_books: 63
  300u, 25, unique_books: 63
  500u, 25, unique_books: 63
  1000u, 25, unique_books: 63
  2u, 35, unique_books: 33
  4u, 35, unique_books: 52
  6u, 35, unique_books: 58
  25u, 35, unique_books: 63
  50u, 35, unique_books: 63
  100u, 35, unique_books: 63
  200u, 35, unique_books: 63
  300u, 35, unique_books: 63
  500u, 35, unique_books: 63
  1000u, 35, unique_books: 63

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 393
  4u, 15, unique_books: 447
  6u, 15, unique_books: 389
  25u, 15, unique_books: 358
  50u, 15, unique_books: 302
  100u, 15, unique_books: 359
  200u, 15, unique_books: 367
  300u, 15, unique_books: 380
  500u, 15, unique_books: 392
  1000u, 15, unique_books: 419
  2u, 25, unique_books: 556
  4u, 25, unique_books: 602
  6u, 25, unique_books: 527
  25u, 25, unique_books: 472
  50u, 25, unique_books: 411
  100u, 25, unique_books: 454
  200u, 25, unique_books: 475
  300u, 25, unique_books: 491
  500u, 25, unique_books: 524
  1000u, 25, unique_books: 566
  2u, 35, unique_books: 667
  4u, 35, unique_books: 715
  6u, 35, unique_books: 640
  25u, 35, unique_books: 580
  50u, 35, unique_books: 510
  100u, 35, unique_books: 548
  200u, 35, unique_books: 568
  300u, 35, unique_books: 584
  500u, 35, unique_books: 612
  1000u, 35, unique_books: 646

G2 contains only (any book containing G2):
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 179
  4u, 15, unique_books: 194
  6u, 15, unique_books: 172
  25u, 15, unique_books: 159
  50u, 15, unique_books: 148
  100u, 15, unique_books: 161
  200u, 15, unique_books: 175
  300u, 15, unique_books: 175
  500u, 15, unique_books: 207
  1000u, 15, unique_books: 216
  2u, 25, unique_books: 257
  4u, 25, unique_books: 277
  6u, 25, unique_books: 244
  25u, 25, unique_books: 216
  50u, 25, unique_books: 203
  100u, 25, unique_books: 205
  200u, 25, unique_books: 231
  300u, 25, unique_books: 234
  500u, 25, unique_books: 266
  1000u, 25, unique_books: 271
  2u, 35, unique_books: 319
  4u, 35, unique_books: 337
  6u, 35, unique_books: 298
  25u, 35, unique_books: 257
  50u, 35, unique_books: 251
  100u, 35, unique_books: 253
  200u, 35, unique_books: 277
  300u, 35, unique_books: 276
  500u, 35, unique_books: 322
  1000u, 35, unique_books: 325
