Adventure + Historical:
pair_both (contains both genres):
  original 15: unique_books: 14
  original 25: unique_books: 16
  original 35: unique_books: 20
  2u, 15, unique_books: 28
  4u, 15, unique_books: 43
  6u, 15, unique_books: 44
  25u, 15, unique_books: 48
  50u, 15, unique_books: 48
  100u, 15, unique_books: 48
  200u, 15, unique_books: 48
  300u, 15, unique_books: 48
  500u, 15, unique_books: 48
  1000u, 15, unique_books: 48
  2u, 25, unique_books: 32
  4u, 25, unique_books: 44
  6u, 25, unique_books: 45
  25u, 25, unique_books: 48
  50u, 25, unique_books: 48
  100u, 25, unique_books: 48
  200u, 25, unique_books: 48
  300u, 25, unique_books: 48
  500u, 25, unique_books: 48
  1000u, 25, unique_books: 48
  2u, 35, unique_books: 38
  4u, 35, unique_books: 45
  6u, 35, unique_books: 46
  25u, 35, unique_books: 48
  50u, 35, unique_books: 48
  100u, 35, unique_books: 48
  200u, 35, unique_books: 48
  300u, 35, unique_books: 48
  500u, 35, unique_books: 48
  1000u, 35, unique_books: 48

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 375
  4u, 15, unique_books: 419
  6u, 15, unique_books: 359
  25u, 15, unique_books: 358
  50u, 15, unique_books: 339
  100u, 15, unique_books: 374
  200u, 15, unique_books: 379
  300u, 15, unique_books: 377
  500u, 15, unique_books: 403
  1000u, 15, unique_books: 407
  2u, 25, unique_books: 539
  4u, 25, unique_books: 580
  6u, 25, unique_books: 512
  25u, 25, unique_books: 488
  50u, 25, unique_books: 445
  100u, 25, unique_books: 489
  200u, 25, unique_books: 493
  300u, 25, unique_books: 496
  500u, 25, unique_books: 527
  1000u, 25, unique_books: 527
  2u, 35, unique_books: 657
  4u, 35, unique_books: 689
  6u, 35, unique_books: 615
  25u, 35, unique_books: 592
  50u, 35, unique_books: 539
  100u, 35, unique_books: 581
  200u, 35, unique_books: 590
  300u, 35, unique_books: 588
  500u, 35, unique_books: 608
  1000u, 35, unique_books: 621

G2 contains only (any book containing G2):
  original 15: unique_books: 151
  original 25: unique_books: 218
  original 35: unique_books: 284
  2u, 15, unique_books: 161
  4u, 15, unique_books: 194
  6u, 15, unique_books: 162
  25u, 15, unique_books: 153
  50u, 15, unique_books: 148
  100u, 15, unique_books: 155
  200u, 15, unique_books: 177
  300u, 15, unique_books: 163
  500u, 15, unique_books: 195
  1000u, 15, unique_books: 178
  2u, 25, unique_books: 233
  4u, 25, unique_books: 252
  6u, 25, unique_books: 215
  25u, 25, unique_books: 205
  50u, 25, unique_books: 203
  100u, 25, unique_books: 204
  200u, 25, unique_books: 218
  300u, 25, unique_books: 209
  500u, 25, unique_books: 253
  1000u, 25, unique_books: 237
  2u, 35, unique_books: 289
  4u, 35, unique_books: 288
  6u, 35, unique_books: 256
  25u, 35, unique_books: 255
  50u, 35, unique_books: 244
  100u, 35, unique_books: 255
  200u, 35, unique_books: 256
  300u, 35, unique_books: 253
  500u, 35, unique_books: 295
  1000u, 35, unique_books: 275
