Adventure + Nonfiction:
pair_both (contains both genres):
  original 15: unique_books: 11
  original 25: unique_books: 15
  original 35: unique_books: 18
  2u, 15, unique_books: 24
  4u, 15, unique_books: 56
  6u, 15, unique_books: 70
  25u, 15, unique_books: 76
  50u, 15, unique_books: 73
  100u, 15, unique_books: 75
  200u, 15, unique_books: 76
  300u, 15, unique_books: 76
  500u, 15, unique_books: 71
  1000u, 15, unique_books: 74
  2u, 25, unique_books: 31
  4u, 25, unique_books: 63
  6u, 25, unique_books: 74
  25u, 25, unique_books: 76
  50u, 25, unique_books: 76
  100u, 25, unique_books: 76
  200u, 25, unique_books: 76
  300u, 25, unique_books: 76
  500u, 25, unique_books: 73
  1000u, 25, unique_books: 76
  2u, 35, unique_books: 41
  4u, 35, unique_books: 68
  6u, 35, unique_books: 75
  25u, 35, unique_books: 76
  50u, 35, unique_books: 76
  100u, 35, unique_books: 76
  200u, 35, unique_books: 76
  300u, 35, unique_books: 76
  500u, 35, unique_books: 75
  1000u, 35, unique_books: 76

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 395
  4u, 15, unique_books: 454
  6u, 15, unique_books: 409
  25u, 15, unique_books: 377
  50u, 15, unique_books: 316
  100u, 15, unique_books: 381
  200u, 15, unique_books: 372
  300u, 15, unique_books: 384
  500u, 15, unique_books: 404
  1000u, 15, unique_books: 434
  2u, 25, unique_books: 553
  4u, 25, unique_books: 615
  6u, 25, unique_books: 550
  25u, 25, unique_books: 499
  50u, 25, unique_books: 429
  100u, 25, unique_books: 503
  200u, 25, unique_books: 501
  300u, 25, unique_books: 496
  500u, 25, unique_books: 538
  1000u, 25, unique_books: 559
  2u, 35, unique_books: 676
  4u, 35, unique_books: 733
  6u, 35, unique_books: 653
  25u, 35, unique_books: 591
  50u, 35, unique_books: 520
  100u, 35, unique_books: 573
  200u, 35, unique_books: 590
  300u, 35, unique_books: 590
  500u, 35, unique_books: 626
  1000u, 35, unique_books: 656

G2 contains only (any book containing G2):
  original 15: unique_books: 249
  original 25: unique_books: 317
  original 35: unique_books: 375
  2u, 15, unique_books: 249
  4u, 15, unique_books: 287
  6u, 15, unique_books: 272
  25u, 15, unique_books: 246
  50u, 15, unique_books: 220
  100u, 15, unique_books: 233
  200u, 15, unique_books: 219
  300u, 15, unique_books: 231
  500u, 15, unique_books: 250
  1000u, 15, unique_books: 265
  2u, 25, unique_books: 326
  4u, 25, unique_books: 353
  6u, 25, unique_books: 336
  25u, 25, unique_books: 302
  50u, 25, unique_books: 286
  100u, 25, unique_books: 285
  200u, 25, unique_books: 290
  300u, 25, unique_books: 296
  500u, 25, unique_books: 312
  1000u, 25, unique_books: 337
  2u, 35, unique_books: 394
  4u, 35, unique_books: 414
  6u, 35, unique_books: 392
  25u, 35, unique_books: 355
  50u, 35, unique_books: 340
  100u, 35, unique_books: 340
  200u, 35, unique_books: 346
  300u, 35, unique_books: 337
  500u, 35, unique_books: 353
  1000u, 35, unique_books: 390
