Adventure + Romance:
pair_both (contains both genres):
  original 15: unique_books: 4
  original 25: unique_books: 6
  original 35: unique_books: 6
  2u, 15, unique_books: 9
  4u, 15, unique_books: 17
  6u, 15, unique_books: 19
  25u, 15, unique_books: 19
  50u, 15, unique_books: 19
  100u, 15, unique_books: 19
  200u, 15, unique_books: 19
  2u, 25, unique_books: 13
  4u, 25, unique_books: 18
  6u, 25, unique_books: 19
  25u, 25, unique_books: 19
  50u, 25, unique_books: 19
  100u, 25, unique_books: 19
  200u, 25, unique_books: 19
  2u, 35, unique_books: 14
  4u, 35, unique_books: 18
  6u, 35, unique_books: 19
  25u, 35, unique_books: 19
  50u, 35, unique_books: 19
  100u, 35, unique_books: 19
  200u, 35, unique_books: 19

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 388
  4u, 15, unique_books: 422
  6u, 15, unique_books: 365
  25u, 15, unique_books: 325
  50u, 15, unique_books: 291
  100u, 15, unique_books: 330
  200u, 15, unique_books: 349
  2u, 25, unique_books: 548
  4u, 25, unique_books: 593
  6u, 25, unique_books: 518
  25u, 25, unique_books: 441
  50u, 25, unique_books: 424
  100u, 25, unique_books: 459
  200u, 25, unique_books: 473
  2u, 35, unique_books: 660
  4u, 35, unique_books: 707
  6u, 35, unique_books: 613
  25u, 35, unique_books: 547
  50u, 35, unique_books: 518
  100u, 35, unique_books: 547
  200u, 35, unique_books: 588

G2 contains only (any book containing G2):
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 395
  4u, 15, unique_books: 446
  6u, 15, unique_books: 373
  25u, 15, unique_books: 302
  50u, 15, unique_books: 295
  100u, 15, unique_books: 273
  200u, 15, unique_books: 285
  2u, 25, unique_books: 531
  4u, 25, unique_books: 575
  6u, 25, unique_books: 509
  25u, 25, unique_books: 458
  50u, 25, unique_books: 435
  100u, 25, unique_books: 397
  200u, 25, unique_books: 401
  2u, 35, unique_books: 640
  4u, 35, unique_books: 716
  6u, 35, unique_books: 636
  25u, 35, unique_books: 581
  50u, 35, unique_books: 539
  100u, 35, unique_books: 504
  200u, 35, unique_books: 520
