Adventure + Fantasy:
pair_both (contains both genres):
  original 15: unique_books: 214
  original 25: unique_books: 281
  original 35: unique_books: 330
  2u, 15, unique_books: 231
  4u, 15, unique_books: 243
  6u, 15, unique_books: 253
  25u, 15, unique_books: 374
  50u, 15, unique_books: 387
  100u, 15, unique_books: 384
  200u, 15, unique_books: 369
  300u, 15, unique_books: 336
  500u, 15, unique_books: 353
  1000u, 15, unique_books: 351
  2u, 25, unique_books: 298
  4u, 25, unique_books: 322
  6u, 25, unique_books: 313
  25u, 25, unique_books: 463
  50u, 25, unique_books: 472
  100u, 25, unique_books: 480
  200u, 25, unique_books: 467
  300u, 25, unique_books: 435
  500u, 25, unique_books: 443
  1000u, 25, unique_books: 445
  2u, 35, unique_books: 348
  4u, 35, unique_books: 368
  6u, 35, unique_books: 364
  25u, 35, unique_books: 535
  50u, 35, unique_books: 530
  100u, 35, unique_books: 538
  200u, 35, unique_books: 530
  300u, 35, unique_books: 505
  500u, 35, unique_books: 520
  1000u, 35, unique_books: 522

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 395
  4u, 15, unique_books: 443
  6u, 15, unique_books: 406
  25u, 15, unique_books: 541
  50u, 15, unique_books: 533
  100u, 15, unique_books: 550
  200u, 15, unique_books: 525
  300u, 15, unique_books: 503
  500u, 15, unique_books: 538
  1000u, 15, unique_books: 536
  2u, 25, unique_books: 549
  4u, 25, unique_books: 604
  6u, 25, unique_books: 540
  25u, 25, unique_books: 695
  50u, 25, unique_books: 694
  100u, 25, unique_books: 718
  200u, 25, unique_books: 695
  300u, 25, unique_books: 679
  500u, 25, unique_books: 690
  1000u, 25, unique_books: 712
  2u, 35, unique_books: 659
  4u, 35, unique_books: 705
  6u, 35, unique_books: 647
  25u, 35, unique_books: 823
  50u, 35, unique_books: 809
  100u, 35, unique_books: 839
  200u, 35, unique_books: 824
  300u, 35, unique_books: 803
  500u, 35, unique_books: 831
  1000u, 35, unique_books: 851

G2 contains only (any book containing G2):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 511
  4u, 15, unique_books: 555
  6u, 15, unique_books: 522
  25u, 15, unique_books: 624
  50u, 15, unique_books: 630
  100u, 15, unique_books: 626
  200u, 15, unique_books: 599
  300u, 15, unique_books: 586
  500u, 15, unique_books: 620
  1000u, 15, unique_books: 601
  2u, 25, unique_books: 676
  4u, 25, unique_books: 720
  6u, 25, unique_books: 666
  25u, 25, unique_books: 802
  50u, 25, unique_books: 796
  100u, 25, unique_books: 820
  200u, 25, unique_books: 787
  300u, 25, unique_books: 759
  500u, 25, unique_books: 819
  1000u, 25, unique_books: 800
  2u, 35, unique_books: 797
  4u, 35, unique_books: 839
  6u, 35, unique_books: 796
  25u, 35, unique_books: 948
  50u, 35, unique_books: 918
  100u, 35, unique_books: 948
  200u, 35, unique_books: 934
  300u, 35, unique_books: 911
  500u, 35, unique_books: 961
  1000u, 35, unique_books: 961
