Adventure + Mystery:
pair_both (contains both genres):
  original 15: unique_books: 13
  original 25: unique_books: 21
  original 35: unique_books: 26
  2u, 15, unique_books: 25
  4u, 15, unique_books: 51
  6u, 15, unique_books: 65
  25u, 15, unique_books: 68
  50u, 15, unique_books: 69
  100u, 15, unique_books: 71
  200u, 15, unique_books: 72
  300u, 15, unique_books: 72
  500u, 15, unique_books: 71
  1000u, 15, unique_books: 72
  2u, 25, unique_books: 29
  4u, 25, unique_books: 60
  6u, 25, unique_books: 69
  25u, 25, unique_books: 71
  50u, 25, unique_books: 72
  100u, 25, unique_books: 72
  200u, 25, unique_books: 72
  300u, 25, unique_books: 72
  500u, 25, unique_books: 71
  1000u, 25, unique_books: 72
  2u, 35, unique_books: 39
  4u, 35, unique_books: 62
  6u, 35, unique_books: 70
  25u, 35, unique_books: 71
  50u, 35, unique_books: 72
  100u, 35, unique_books: 72
  200u, 35, unique_books: 72
  300u, 35, unique_books: 72
  500u, 35, unique_books: 72
  1000u, 35, unique_books: 72

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 382
  4u, 15, unique_books: 439
  6u, 15, unique_books: 407
  25u, 15, unique_books: 344
  50u, 15, unique_books: 309
  100u, 15, unique_books: 356
  200u, 15, unique_books: 376
  300u, 15, unique_books: 373
  500u, 15, unique_books: 394
  1000u, 15, unique_books: 407
  2u, 25, unique_books: 544
  4u, 25, unique_books: 608
  6u, 25, unique_books: 551
  25u, 25, unique_books: 453
  50u, 25, unique_books: 431
  100u, 25, unique_books: 490
  200u, 25, unique_books: 492
  300u, 25, unique_books: 476
  500u, 25, unique_books: 519
  1000u, 25, unique_books: 531
  2u, 35, unique_books: 663
  4u, 35, unique_books: 708
  6u, 35, unique_books: 649
  25u, 35, unique_books: 554
  50u, 35, unique_books: 524
  100u, 35, unique_books: 569
  200u, 35, unique_books: 594
  300u, 35, unique_books: 577
  500u, 35, unique_books: 600
  1000u, 35, unique_books: 646

G2 contains only (any book containing G2):
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 436
  4u, 15, unique_books: 529
  6u, 15, unique_books: 464
  25u, 15, unique_books: 405
  50u, 15, unique_books: 375
  100u, 15, unique_books: 365
  200u, 15, unique_books: 396
  300u, 15, unique_books: 388
  500u, 15, unique_books: 411
  1000u, 15, unique_books: 450
  2u, 25, unique_books: 589
  4u, 25, unique_books: 671
  6u, 25, unique_books: 605
  25u, 25, unique_books: 514
  50u, 25, unique_books: 487
  100u, 25, unique_books: 501
  200u, 25, unique_books: 520
  300u, 25, unique_books: 515
  500u, 25, unique_books: 548
  1000u, 25, unique_books: 575
  2u, 35, unique_books: 717
  4u, 35, unique_books: 795
  6u, 35, unique_books: 705
  25u, 35, unique_books: 607
  50u, 35, unique_books: 569
  100u, 35, unique_books: 597
  200u, 35, unique_books: 628
  300u, 35, unique_books: 622
  500u, 35, unique_books: 654
  1000u, 35, unique_books: 678
