Adventure + children s:
pair_both (contains both genres):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  4u, 15, unique_books: 0
  6u, 15, unique_books: 0
  25u, 15, unique_books: 0
  50u, 15, unique_books: 0
  100u, 15, unique_books: 0
  200u, 15, unique_books: 0
  300u, 15, unique_books: 0
  500u, 15, unique_books: 0
  1000u, 15, unique_books: 0
  2u, 25, unique_books: 0
  4u, 25, unique_books: 0
  6u, 25, unique_books: 0
  25u, 25, unique_books: 0
  50u, 25, unique_books: 0
  100u, 25, unique_books: 0
  200u, 25, unique_books: 0
  300u, 25, unique_books: 0
  500u, 25, unique_books: 0
  1000u, 25, unique_books: 0
  2u, 35, unique_books: 0
  4u, 35, unique_books: 0
  6u, 35, unique_books: 0
  25u, 35, unique_books: 0
  50u, 35, unique_books: 0
  100u, 35, unique_books: 0
  200u, 35, unique_books: 0
  300u, 35, unique_books: 0
  500u, 35, unique_books: 0
  1000u, 35, unique_books: 0

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 394
  4u, 15, unique_books: 447
  6u, 15, unique_books: 407
  25u, 15, unique_books: 421
  50u, 15, unique_books: 442
  100u, 15, unique_books: 518
  200u, 15, unique_books: 527
  300u, 15, unique_books: 500
  500u, 15, unique_books: 512
  1000u, 15, unique_books: 539
  2u, 25, unique_books: 559
  4u, 25, unique_books: 610
  6u, 25, unique_books: 565
  25u, 25, unique_books: 554
  50u, 25, unique_books: 570
  100u, 25, unique_books: 637
  200u, 25, unique_books: 642
  300u, 25, unique_books: 644
  500u, 25, unique_books: 653
  1000u, 25, unique_books: 672
  2u, 35, unique_books: 672
  4u, 35, unique_books: 726
  6u, 35, unique_books: 659
  25u, 35, unique_books: 674
  50u, 35, unique_books: 690
  100u, 35, unique_books: 723
  200u, 35, unique_books: 737
  300u, 35, unique_books: 745
  500u, 35, unique_books: 748
  1000u, 35, unique_books: 762

G2 contains only (any book containing G2):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  4u, 15, unique_books: 0
  6u, 15, unique_books: 0
  25u, 15, unique_books: 0
  50u, 15, unique_books: 0
  100u, 15, unique_books: 0
  200u, 15, unique_books: 0
  300u, 15, unique_books: 0
  500u, 15, unique_books: 0
  1000u, 15, unique_books: 0
  2u, 25, unique_books: 0
  4u, 25, unique_books: 0
  6u, 25, unique_books: 0
  25u, 25, unique_books: 0
  50u, 25, unique_books: 0
  100u, 25, unique_books: 0
  200u, 25, unique_books: 0
  300u, 25, unique_books: 0
  500u, 25, unique_books: 0
  1000u, 25, unique_books: 0
  2u, 35, unique_books: 0
  4u, 35, unique_books: 0
  6u, 35, unique_books: 0
  25u, 35, unique_books: 0
  50u, 35, unique_books: 0
  100u, 35, unique_books: 0
  200u, 35, unique_books: 0
  300u, 35, unique_books: 0
  500u, 35, unique_books: 0
  1000u, 35, unique_books: 0
