Fantasy + Romance:
pair_both (contains both genres):
  original 15: unique_books: 80
  original 25: unique_books: 108
  original 35: unique_books: 129
  2u, 15, unique_books: 76
  4u, 15, unique_books: 126
  6u, 15, unique_books: 138
  25u, 15, unique_books: 183
  50u, 15, unique_books: 224
  100u, 15, unique_books: 227
  200u, 15, unique_books: 212
  300u, 15, unique_books: 203
  500u, 15, unique_books: 210
  1000u, 15, unique_books: 220
  2u, 25, unique_books: 106
  4u, 25, unique_books: 158
  6u, 25, unique_books: 175
  25u, 25, unique_books: 228
  50u, 25, unique_books: 268
  100u, 25, unique_books: 266
  200u, 25, unique_books: 245
  300u, 25, unique_books: 237
  500u, 25, unique_books: 242
  1000u, 25, unique_books: 258
  2u, 35, unique_books: 142
  4u, 35, unique_books: 180
  6u, 35, unique_books: 198
  25u, 35, unique_books: 258
  50u, 35, unique_books: 290
  100u, 35, unique_books: 294
  200u, 35, unique_books: 276
  300u, 35, unique_books: 265
  500u, 35, unique_books: 275
  1000u, 35, unique_books: 287

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 496
  4u, 15, unique_books: 577
  6u, 15, unique_books: 524
  25u, 15, unique_books: 524
  50u, 15, unique_books: 548
  100u, 15, unique_books: 586
  200u, 15, unique_books: 568
  300u, 15, unique_books: 561
  500u, 15, unique_books: 603
  1000u, 15, unique_books: 606
  2u, 25, unique_books: 681
  4u, 25, unique_books: 738
  6u, 25, unique_books: 690
  25u, 25, unique_books: 668
  50u, 25, unique_books: 702
  100u, 25, unique_books: 742
  200u, 25, unique_books: 726
  300u, 25, unique_books: 704
  500u, 25, unique_books: 745
  1000u, 25, unique_books: 772
  2u, 35, unique_books: 821
  4u, 35, unique_books: 864
  6u, 35, unique_books: 812
  25u, 35, unique_books: 778
  50u, 35, unique_books: 806
  100u, 35, unique_books: 871
  200u, 35, unique_books: 870
  300u, 35, unique_books: 830
  500u, 35, unique_books: 868
  1000u, 35, unique_books: 909

G2 contains only (any book containing G2):
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 400
  4u, 15, unique_books: 471
  6u, 15, unique_books: 420
  25u, 15, unique_books: 422
  50u, 15, unique_books: 466
  100u, 15, unique_books: 464
  200u, 15, unique_books: 481
  300u, 15, unique_books: 447
  500u, 15, unique_books: 487
  1000u, 15, unique_books: 469
  2u, 25, unique_books: 538
  4u, 25, unique_books: 614
  6u, 25, unique_books: 564
  25u, 25, unique_books: 536
  50u, 25, unique_books: 594
  100u, 25, unique_books: 589
  200u, 25, unique_books: 624
  300u, 25, unique_books: 578
  500u, 25, unique_books: 625
  1000u, 25, unique_books: 625
  2u, 35, unique_books: 656
  4u, 35, unique_books: 734
  6u, 35, unique_books: 688
  25u, 35, unique_books: 648
  50u, 35, unique_books: 694
  100u, 35, unique_books: 690
  200u, 35, unique_books: 736
  300u, 35, unique_books: 696
  500u, 35, unique_books: 745
  1000u, 35, unique_books: 751
