Fantasy + Thriller:
pair_both (contains both genres):
  original 15: unique_books: 11
  original 25: unique_books: 15
  original 35: unique_books: 18
  2u, 15, unique_books: 22
  4u, 15, unique_books: 34
  6u, 15, unique_books: 37
  25u, 15, unique_books: 40
  50u, 15, unique_books: 40
  100u, 15, unique_books: 40
  200u, 15, unique_books: 40
  300u, 15, unique_books: 40
  500u, 15, unique_books: 40
  1000u, 15, unique_books: 40
  2u, 25, unique_books: 24
  4u, 25, unique_books: 37
  6u, 25, unique_books: 38
  25u, 25, unique_books: 40
  50u, 25, unique_books: 40
  100u, 25, unique_books: 40
  200u, 25, unique_books: 40
  300u, 25, unique_books: 40
  500u, 25, unique_books: 40
  1000u, 25, unique_books: 40
  2u, 35, unique_books: 25
  4u, 35, unique_books: 38
  6u, 35, unique_books: 39
  25u, 35, unique_books: 40
  50u, 35, unique_books: 40
  100u, 35, unique_books: 40
  200u, 35, unique_books: 40
  300u, 35, unique_books: 40
  500u, 35, unique_books: 40
  1000u, 35, unique_books: 40

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 494
  4u, 15, unique_books: 549
  6u, 15, unique_books: 467
  25u, 15, unique_books: 393
  50u, 15, unique_books: 334
  100u, 15, unique_books: 380
  200u, 15, unique_books: 396
  300u, 15, unique_books: 409
  500u, 15, unique_books: 443
  1000u, 15, unique_books: 455
  2u, 25, unique_books: 674
  4u, 25, unique_books: 697
  6u, 25, unique_books: 640
  25u, 25, unique_books: 521
  50u, 25, unique_books: 477
  100u, 25, unique_books: 495
  200u, 25, unique_books: 526
  300u, 25, unique_books: 546
  500u, 25, unique_books: 602
  1000u, 25, unique_books: 577
  2u, 35, unique_books: 800
  4u, 35, unique_books: 823
  6u, 35, unique_books: 769
  25u, 35, unique_books: 643
  50u, 35, unique_books: 594
  100u, 35, unique_books: 610
  200u, 35, unique_books: 651
  300u, 35, unique_books: 654
  500u, 35, unique_books: 710
  1000u, 35, unique_books: 708

G2 contains only (any book containing G2):
  original 15: unique_books: 254
  original 25: unique_books: 346
  original 35: unique_books: 418
  2u, 15, unique_books: 255
  4u, 15, unique_books: 284
  6u, 15, unique_books: 257
  25u, 15, unique_books: 216
  50u, 15, unique_books: 196
  100u, 15, unique_books: 203
  200u, 15, unique_books: 212
  300u, 15, unique_books: 205
  500u, 15, unique_books: 236
  1000u, 15, unique_books: 243
  2u, 25, unique_books: 339
  4u, 25, unique_books: 367
  6u, 25, unique_books: 330
  25u, 25, unique_books: 287
  50u, 25, unique_books: 256
  100u, 25, unique_books: 269
  200u, 25, unique_books: 291
  300u, 25, unique_books: 278
  500u, 25, unique_books: 300
  1000u, 25, unique_books: 297
  2u, 35, unique_books: 401
  4u, 35, unique_books: 439
  6u, 35, unique_books: 393
  25u, 35, unique_books: 351
  50u, 35, unique_books: 304
  100u, 35, unique_books: 329
  200u, 35, unique_books: 349
  300u, 35, unique_books: 343
  500u, 35, unique_books: 380
  1000u, 35, unique_books: 352
