Horror + Romance:
pair_both (contains both genres):
  original 15: unique_books: 13
  original 25: unique_books: 19
  original 35: unique_books: 25
  2u, 15, unique_books: 31
  4u, 15, unique_books: 48
  6u, 15, unique_books: 52
  25u, 15, unique_books: 54
  50u, 15, unique_books: 54
  100u, 15, unique_books: 55
  200u, 15, unique_books: 55
  300u, 15, unique_books: 55
  500u, 15, unique_books: 55
  1000u, 15, unique_books: 55
  2u, 25, unique_books: 34
  4u, 25, unique_books: 51
  6u, 25, unique_books: 54
  25u, 25, unique_books: 55
  50u, 25, unique_books: 55
  100u, 25, unique_books: 55
  200u, 25, unique_books: 55
  300u, 25, unique_books: 55
  500u, 25, unique_books: 55
  1000u, 25, unique_books: 55
  2u, 35, unique_books: 36
  4u, 35, unique_books: 52
  6u, 35, unique_books: 55
  25u, 35, unique_books: 55
  50u, 35, unique_books: 55
  100u, 35, unique_books: 55
  200u, 35, unique_books: 55
  300u, 35, unique_books: 55
  500u, 35, unique_books: 55
  1000u, 35, unique_books: 55

G1 contains only (any book containing G1):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 181
  4u, 15, unique_books: 214
  6u, 15, unique_books: 203
  25u, 15, unique_books: 186
  50u, 15, unique_books: 163
  100u, 15, unique_books: 167
  200u, 15, unique_books: 175
  300u, 15, unique_books: 186
  500u, 15, unique_books: 189
  1000u, 15, unique_books: 191
  2u, 25, unique_books: 242
  4u, 25, unique_books: 271
  6u, 25, unique_books: 251
  25u, 25, unique_books: 237
  50u, 25, unique_books: 212
  100u, 25, unique_books: 214
  200u, 25, unique_books: 213
  300u, 25, unique_books: 230
  500u, 25, unique_books: 240
  1000u, 25, unique_books: 232
  2u, 35, unique_books: 280
  4u, 35, unique_books: 309
  6u, 35, unique_books: 283
  25u, 35, unique_books: 275
  50u, 35, unique_books: 253
  100u, 35, unique_books: 244
  200u, 35, unique_books: 251
  300u, 35, unique_books: 258
  500u, 35, unique_books: 279
  1000u, 35, unique_books: 274

G2 contains only (any book containing G2):
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 400
  4u, 15, unique_books: 459
  6u, 15, unique_books: 384
  25u, 15, unique_books: 333
  50u, 15, unique_books: 292
  100u, 15, unique_books: 293
  200u, 15, unique_books: 325
  300u, 15, unique_books: 323
  500u, 15, unique_books: 365
  1000u, 15, unique_books: 362
  2u, 25, unique_books: 533
  4u, 25, unique_books: 601
  6u, 25, unique_books: 531
  25u, 25, unique_books: 464
  50u, 25, unique_books: 421
  100u, 25, unique_books: 393
  200u, 25, unique_books: 423
  300u, 25, unique_books: 416
  500u, 25, unique_books: 477
  1000u, 25, unique_books: 476
  2u, 35, unique_books: 632
  4u, 35, unique_books: 723
  6u, 35, unique_books: 645
  25u, 35, unique_books: 566
  50u, 35, unique_books: 519
  100u, 35, unique_books: 493
  200u, 35, unique_books: 529
  300u, 35, unique_books: 507
  500u, 35, unique_books: 570
  1000u, 35, unique_books: 574
