children s + Classics:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 187
  6u, 15, unique_books: 183
  200u, 15, unique_books: 274
  2u, 25, unique_books: 265
  6u, 25, unique_books: 266
  200u, 25, unique_books: 354
  2u, 35, unique_books: 326
  6u, 35, unique_books: 308
  200u, 35, unique_books: 442

single G1:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

single G2:
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 187
  6u, 15, unique_books: 183
  200u, 15, unique_books: 274
  2u, 25, unique_books: 265
  6u, 25, unique_books: 266
  200u, 25, unique_books: 354
  2u, 35, unique_books: 326
  6u, 35, unique_books: 308
  200u, 35, unique_books: 442
