children s + Mystery:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 463
  6u, 15, unique_books: 464
  200u, 15, unique_books: 487
  2u, 25, unique_books: 608
  6u, 25, unique_books: 618
  200u, 25, unique_books: 670
  2u, 35, unique_books: 729
  6u, 35, unique_books: 736
  200u, 35, unique_books: 824

single G1:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

single G2:
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 463
  6u, 15, unique_books: 464
  200u, 15, unique_books: 487
  2u, 25, unique_books: 608
  6u, 25, unique_books: 618
  200u, 25, unique_books: 670
  2u, 35, unique_books: 729
  6u, 35, unique_books: 736
  200u, 35, unique_books: 824
