Cluster 0 - Top-25 Entropy per Bin
Bin	UserCount	rec_entropy_top25_final	rec_entropy_top25_240	rec_entropy_top25_528	rec_entropy_top25_1056
1	23337	2.682740	1.526481	0.819384	0.369933
2	23337	2.679973	1.661951	0.868327	0.385568
3	23337	2.680733	1.729593	0.954941	0.435071
4	23337	2.681005	1.794388	0.961889	0.433226
5	23337	2.679796	2.035730	1.047775	0.468570
6	23337	2.678959	2.024459	1.034262	0.448973
7	23337	2.679225	1.992542	1.019916	0.446996
8	23337	2.681037	1.936164	1.034921	0.470222
9	23337	2.683163	1.854125	1.033945	0.494422
10	23338	2.680455	1.923193	1.046619	0.503058
