Cluster 2 - Average Entropy per Bin (0_40_80_120_1970)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1970	rec_entropy_80_1970	rec_entropy_120_1970
1	31	1.1232	1.1866	1.1939	1.1939	1.1939
2	31	1.1788	1.1709	1.1691	1.1721	1.1721
3	31	1.2395	1.3265	1.3111	1.3136	1.3136
4	31	1.2938	1.3109	1.3184	1.3164	1.3164
5	31	1.3402	1.3921	1.3674	1.3674	1.3719
6	31	1.3896	1.3694	1.3833	1.3833	1.3878
7	31	1.4602	1.4809	1.4662	1.4636	1.4643
8	31	1.5247	1.5194	1.5070	1.5070	1.5101
9	31	1.6208	1.5944	1.6148	1.6167	1.6167
10	35	1.7707	1.7012	1.7022	1.7034	1.7034
