Cluster 1 - Average Entropy per Bin (0_40_80_120_1970)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1970	rec_entropy_80_1970	rec_entropy_120_1970
1	31	0.3691	0.3363	0.3512	0.3512	0.3512
2	31	0.4988	0.6167	0.6264	0.6264	0.6264
3	31	0.5871	0.8012	0.8014	0.8014	0.8014
4	31	0.6708	0.8085	0.7812	0.7839	0.7839
5	31	0.7494	0.8428	0.8510	0.8560	0.8560
6	31	0.8223	0.9293	0.9517	0.9549	0.9549
7	31	0.8790	0.9297	0.9130	0.9115	0.9131
8	31	0.9326	1.0126	0.9951	0.9951	0.9920
9	31	0.9875	1.0325	1.0314	1.0248	1.0248
10	35	1.0541	1.1242	1.1327	1.1327	1.1327
